input,output
what is -78471238440906813375 * -51756248356230821838,4061376905568580138376108926549940483250
what is -33627535620836294325 * -26903730481753622997,904706155108549154518888724100580592025
what is -43567638164570241250 - -46962069506394444168,3394431341824202918
what is 10858593967170540081 - -28720575791943681709,39579169759114221790
what is 59042181459536142757 + 51130562327821013887,110172743787357156644
what is -64166060265710257947 - -56681811607739929374,-7484248657970328573
what is -13672827414583643493 * 46443500109579478498,-635013961527476744250378793763691113514
what is -69688203494155206913 + -20444047934179640326,-90132251428334847239
what is 35328471357604512053 + 71433452268110674475,106761923625715186528
what is 11355735978242942147 / -47431221874448197775,-0.24
what is -69958934737174485327 + 31971480060627038999,-37987454676547446328
what is -33572028362342116025 - -92858684124947889280,59286655762605773255
what is -25727218643566618158 - 50398055101949356281,-76125273745515974439
what is 15576958814075221966 - 87296687820150003691,-71719729006074781725
what is -49612043765111378249 + -58130394532133096424,-107742438297244474673
what is 97397500049013632632 * 29210033761434057973,2844984264710963525376513546981612574936
what is 89954105754950374917 - 64684844494704695579,25269261260245679338
what is -12235994664525974898 - 2112879726078508441,-14348874390604483339
what is -41853717012783083609 - -86621093687128413473,44767376674345329864
what is 29067693154080981150 / 91077990043125265417,0.32
what is -37208305531373155408 + 7926434205512580023,-29281871325860575385
what is -83903319769696295081 + -63600605521953809246,-147503925291650104327
what is 179288591202168630 - -49210935486709003583,49390224077911172213
what is -11531610208123510393 - -60665885758921682670,49134275550798172277
what is 30655190859007949493 / -28155337063306839235,-1.09
what is -85011371647071049181 * 39115031554488840899,-3325222484465562075735878179672513253719
what is -69916658898580304001 + 51952633935993269185,-17964024962587034816
what is -1047977505609053188 / -97197875931229320231,0.01
what is 92637172880542127058 + 51282604880377981942,143919777760920109000
what is -60427215456246222653 * 18186685932499606564,-1098970789278235972537637685233644294292
what is -16034388634402303243 * -80457472553747898649,1290086383468550562330865826896928018707
what is 97971012449261539594 - 57671916871717879173,40299095577543660421
what is 54555980123049831385 * 35117521829656254745,1915870822909495180541383938882856171825
what is -73548521121200348698 / 59103130122201132445,-1.24
what is -68982478900393765206 + 32002514010390986340,-36979964890002778866
what is -7506713304918173974 + 469876564523499662,-7036836740394674312
what is -14199785107070746722 / 85054227436426479776,-0.17
what is 70838355235494907785 / -38365631788729601444,-1.85
what is 86603152991016563472 + -4752456133955872420,81850696857060691052
what is -73583290319174189902 - -4906501430077710544,-68676788889096479358
what is -3419872237027590037 - -7224954204840678579,3805081967813088542
what is -2416106375635226716 / -85269518421932337633,0.03
what is 24845084187360893567 * -2685284434408404883,-66716117839886600736460111894006087661
what is -28183917558226171515 / 40087749732559009299,-0.7
what is 8607768949411365350 / 28405375717912343768,0.3
what is -17995867311377777076 + -94691995611749771903,-112687862923127548979
what is -60411134859214590609 - -11752566709458379801,-48658568149756210808
what is 3273095308240586018 * -80082514096212021972,-262117701160422162867582626625971987496
what is 84199221999345400689 * 55082175600859631335,4637876331623706735417117644320394989815
what is -32113025728782413367 + -12226247493747407765,-44339273222529821132
what is -12810451079921237296 / 15028703132542327006,-0.85
what is -67579126309762125777 / -2816682033251935938,23.99
what is 22255479418750329280 * -57988677829967467487,-1290565825965384479150824134868944119360
what is -38884947004517326283 / -65845941938980764383,0.59
what is -58626068321341732421 * -49807547294293791952,2920020670593727394145062969601027275792
what is -36849615620439964918 * 2115703304995785610,-77962853555989160679522028006249229980
what is -14987798633560390267 * -16537962820508998445,247867656563097304658791236399496134815
what is 55526968586528939150 / -32995897898772925616,-1.68
what is 4323783894989075722 * 66767687370481376489,288689051358152885282317617104411500058
what is 95850258324573619959 / 5358160386402282324,17.89
what is -96937223759511745461 / 38734961001397388622,-2.5
what is -38682900337900411975 * 86480813065280332850,-3345328672944834950294452038880125878750
what is -51214788947351038355 + -45998885134215562585,-97213674081566600940
what is 32124835577064222026 + -52918292729126469379,-20793457152062247353
what is 51815073338735922451 / -50188948883772003643,-1.03
what is 30545337580413076487 - 64547326705821405216,-34001989125408328729
what is 76493946910547169619 * 38751875479018061005,2964283905576142226389000999484224607095
what is -65361560414972583692 / 27112357344967700464,-2.41
what is -72346992776835961967 - 84253651112041762490,-156600643888877724457
what is -53354662401958272874 - -3660862344548807346,-49693800057409465528
what is 85590094693447419739 / 77484565353117095907,1.1
what is -47802411781365737166 - -31235591964588211364,-16566819816777525802
what is -24375632963902791499 - 14330062082260716523,-38705695046163508022
what is -56897303319617694340 / 89069446920249913067,-0.64
what is -12778582503153020220 * 906266437911600096,-11580800446691985937186569675241941120
what is -37976319911181226686 + -78291547962345308134,-116267867873526534820
what is 73169269095746892052 + 82791829201410993366,155961098297157885418
what is -11695572498819185821 / 79704694098052727867,-0.15
what is -91606653394205049043 - 41912634025101217414,-133519287419306266457
what is 92965695206899667415 * 72757684609228309886,6763968731341253989762162325215956564690
what is -96598049121935803215 + -80593368002360274781,-177191417124296077996
what is 6241791974763182187 - 3670451621242048092,2571340353521134095
what is -3099199469820015929 - 83631392088312606844,-86730591558132622773
what is -67077526499769436301 - 94728192040835226938,-161805718540604663239
what is -70875895975889798107 * 7329551787173833831,-519488550017629807153277474447756357917
what is -60186523622531132007 / -31537869517418937870,1.91
what is 63818084132003652958 * 19279438499167921279,1230376828157688639157876088279379493282
what is 42969169054925660765 / 43809911307086860890,0.98
what is -12443592334123422547 + -10861093132562682462,-23304685466686105009
what is 53876873698453298503 - -61677150578206005198,115554024276659303701
what is -35846552761477800945 * 67137108220349132247,-2406633892073790156684902067584546573415
what is 73131016477489386334 - -56622381686047849791,129753398163537236125
what is -10536949555944855371 / 89343206036295110052,-0.12
what is 58633729009093809144 / -50124520385702466009,-1.17
what is 88490843505241289638 / -47530779508599242301,-1.86
what is 19131275063951739702 - 3952586633157385513,15178688430794354189
what is 9748362773467649455 - 34835635836448053208,-25087273062980403753
what is 48693017183148491153 - 19741595950954996033,28951421232193495120
what is -36386389409353963404 * 7314336332917362077,-266142290080517208937171349224475430108
what is 78954861479915569511 * 38253476549918291565,3020297942123997256101767781933122474715
what is -46119858467311490469 - -68012344563724676657,21892486096413186188
what is 28407466629817519119 * -58052076787238472000,-1649112434125081109076174434072346168000
what is -84786650658488380393 * 83391594119273721331,-7070493958445315014680007174696206263083
what is 51255634182388655255 - -95379303993451285121,146634938175839940376
what is 31418944992492901520 * 69206747815082932802,2174403002711418964816381484088163659040
what is -61970484343246072713 - 99659674230220208289,-161630158573466281002
what is 2886190522781139976 + 36480353490945802034,39366544013726942010
what is -20830381616433015275 + 25410928451803634253,4580546835370618978
what is -72233489318043490301 + 28697108957680491459,-43536380360362998842
what is 43360361202954961250 / 29544338139595423117,1.47
what is 42156420039959847923 - -50505109685605285879,92661529725565133802
what is -28968056638699941121 / -57264388153242987242,0.51
what is -59239485360910089612 - 1698882636174993985,-60938367997085083597
what is 54565736001925972735 * -31460348214034395146,-1716657055175664073350153645403412344310
what is -45675382270765097233 * -62736993148772802653,2865536144588568642419911190965465359149
what is 61713840976337781267 - 78997730126195711907,-17283889149857930640
what is -85940067998358767034 + -32264607811086296048,-118204675809445063082
what is 3356495285447432891 / 94516911000110098076,0.04
what is -66988114578879271584 / 7876545532971384148,-8.5
what is -92377812003673619731 + 58649906286877583079,-33727905716796036652
what is 2666533717663346347 * -89347111033204460526,-238247084145850480266254129736027798522
what is -51996517014224202677 + 61741574800697799046,9745057786473596369
what is -9292652863059483132 + 97058862566725531642,87766209703666048510
what is -60144799501337721217 - 91690292919234143148,-151835092420571864365
what is -49082258098619319875 - 57702772488638073494,-106785030587257393369
what is 40420249897348013959 * -18597676648310522776,-751722737634784964539210549764635430184
what is 37403552715387044776 / -18133804979152709465,-2.06
what is 56916724087991130319 / 72519763674367900931,0.78
what is 35306796020448033495 * -8369527549478947815,-295501201976973496467921534718477063425
what is -15853861967613106947 / 3024748362664894917,-5.24
what is 56144144179341802972 - -4122002663723585326,60266146843065388298
what is 53677933582270804404 / 43681965929525078123,1.23
what is -64570480044151603997 / -34257209777235074823,1.88
what is -59400651875405117520 / -22486930954728023801,2.64
what is 51257946688000593724 - 75226654162924188083,-23968707474923594359
what is -24627828933934020954 * -26172855486315678246,644580607629559041728590195258485966684
what is -53549409840064716278 - 12197461867986729496,-65746871708051445774
